,game,G,S,S%,rolling-avg
2,2023-10-11 (VAN vs EDM),1,3,33.3,
3,2023-10-14 (VAN @ EDM),0,1,0.0,
4,2023-10-17 (VAN @ PHI),0,2,0.0,
5,2023-10-19 (VAN @ TBL),1,4,25.0,
6,2023-10-21 (VAN @ FLA),0,5,0.0,11.7
7,2023-10-24 (VAN @ NSH),0,1,0.0,5.0
8,2023-10-27 (VAN vs STL),1,1,100.0,25.0
9,2023-10-28 (VAN vs NYR),1,2,50.0,35.0
10,2023-10-31 (VAN vs NSH),1,2,50.0,40.0
11,2023-11-02 (VAN @ SJS),1,4,25.0,45.0
12,2023-11-04 (VAN vs DAL),0,0,,
13,2023-11-06 (VAN vs EDM),1,2,50.0,
14,2023-11-09 (VAN @ OTT),1,2,50.0,
15,2023-11-11 (VAN @ TOR),1,3,33.3,
16,2023-11-12 (VAN @ MTL),0,2,0.0,
17,2023-11-15 (VAN vs NYI),1,3,33.3,33.3
18,2023-11-16 (VAN @ CGY),0,1,0.0,23.3
19,2023-11-18 (VAN vs SEA),1,3,33.3,20.0
20,2023-11-20 (VAN vs SJS),1,3,33.3,20.0
21,2023-11-22 (VAN @ COL),1,2,50.0,30.0
22,2023-11-24 (VAN @ SEA),0,3,0.0,23.3
23,2023-11-25 (VAN @ SJS),0,1,0.0,23.3
24,2023-11-28 (VAN vs ANA),0,3,0.0,16.7
25,2023-11-30 (VAN vs VEG),0,3,0.0,10.0
26,2023-12-02 (VAN @ CGY),0,0,,
27,2023-12-05 (VAN vs NJD),1,4,25.0,
28,2023-12-07 (VAN vs MIN),0,4,0.0,
29,2023-12-09 (VAN vs CAR),1,3,33.3,
30,2023-12-12 (VAN vs TBL),0,2,0.0,
31,2023-12-14 (VAN vs FLA),0,1,0.0,11.7
32,2023-12-16 (VAN @ MIN),0,1,0.0,6.7
33,2023-12-17 (VAN @ CHI),0,3,0.0,6.7
34,2023-12-19 (VAN @ NSH),0,2,0.0,0.0
35,2023-12-21 (VAN @ DAL),0,2,0.0,0.0
36,2023-12-23 (VAN vs SJS),0,0,,
37,2023-12-28 (VAN vs PHI),0,2,0.0,
38,2024-01-02 (VAN vs OTT),1,2,50.0,
39,2024-01-04 (VAN @ STL),0,1,0.0,
40,2024-01-06 (VAN @ NJD),2,2,100.0,
41,2024-01-08 (VAN @ NYR),1,1,100.0,50.0
42,2024-01-09 (VAN @ NYI),0,4,0.0,50.0
43,2024-01-11 (VAN @ PIT),0,1,0.0,40.0
44,2024-01-13 (VAN @ BUF),0,1,0.0,40.0
45,2024-01-15 (VAN @ CBJ),1,2,50.0,30.0
46,2024-01-18 (VAN vs ARI),0,0,,
47,2024-01-20 (VAN vs TOR),1,1,100.0,
48,2024-01-22 (VAN vs CHI),0,1,0.0,
49,2024-01-24 (VAN vs STL),0,0,,
50,2024-01-27 (VAN vs CBJ),0,4,0.0,
51,2024-02-06 (VAN @ CAR),1,3,33.3,
52,2024-02-08 (VAN @ BOS),0,1,0.0,
53,2024-02-10 (VAN @ DET),0,8,0.0,
54,2024-02-11 (VAN @ WSH),1,3,33.3,13.3
55,2024-02-13 (VAN @ CHI),0,3,0.0,13.3
56,2024-02-15 (VAN vs DET),1,2,50.0,16.7
57,2024-02-17 (VAN vs WPG),0,4,0.0,16.7
58,2024-02-19 (VAN @ MIN),3,4,75.0,31.7
59,2024-02-20 (VAN @ COL),1,1,100.0,45.0
60,2024-02-22 (VAN @ SEA),1,2,50.0,55.0
61,2024-02-24 (VAN vs BOS),0,4,0.0,45.0
62,2024-02-27 (VAN vs PIT),1,4,25.0,50.0
63,2024-02-29 (VAN vs LAK),0,5,0.0,35.0
64,2024-03-03 (VAN @ ANA),0,2,0.0,15.0
65,2024-03-05 (VAN @ LAK),1,3,33.3,11.7
66,2024-03-07 (VAN @ VEG),0,2,0.0,11.7
67,2024-03-09 (VAN vs WPG),1,1,100.0,26.7
68,2024-03-13 (VAN vs COL),1,2,50.0,36.7
69,2024-03-16 (VAN vs WSH),0,2,0.0,36.7
70,2024-03-19 (VAN vs BUF),0,6,0.0,30.0
71,2024-03-21 (VAN vs MTL),0,3,0.0,30.0
72,2024-03-23 (VAN vs CGY),1,4,25.0,15.0
73,2024-03-25 (VAN vs LAK),0,1,0.0,5.0
74,2024-03-28 (VAN vs DAL),1,1,100.0,25.0
75,2024-03-31 (VAN vs ANA),0,2,0.0,25.0
76,2024-04-02 (VAN @ VEG),0,3,0.0,25.0
77,2024-04-03 (VAN @ ARI),0,3,0.0,20.0
78,2024-04-06 (VAN @ LAK),0,3,0.0,20.0
79,2024-04-08 (VAN vs VEG),0,2,0.0,0.0
80,2024-04-10 (VAN vs ARI),1,4,25.0,5.0
81,2024-04-13 (VAN @ EDM),0,1,0.0,5.0
82,2024-04-16 (VAN vs CGY),1,5,20.0,9.0
